Response ID,Time Started,Date Submitted,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, was $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",,I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,What have you learned about teamwork from BizWorld?,What have you learned about leadership from BizWorld?,What advice would you give to a new student about to begin BizWorld?,What have you learned about managing money from BizWorld?,Score
2915,10/16/2014 12:02,10/16/2014 12:19,United States,Los Angeles,CA,90001,santa clarita,California,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Cash on hand.,Introduce your customers to your logo and slogan.,Decide how the product will look.,All of the above.,,5,3,5,5,3,5,4,4,5,4,4,5,5,4,3,5,That you need to be able to talk to people and work together or you will never get any thing done.,that you need to listen and compromise with the people around you or you will end up losing your advise ,no matter what is going on around you need to only work with your team and not slack off because you will end up getting your self into bad habits ,that you need to be smart with your money and not spend to much i would suggest doing the math before spending eny money ,54
2919,10/16/2014 12:02,10/16/2014 12:16,United States,Los Angeles,CA,90001,Santa Clarita,Colorado,7,,Male,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$8 ,A portion of company products and services.,All of the above.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Profit.,Demonstrate why your company and its products are special.,Promote the product to your customers.,All of the above.,,4,2,4,4,4,4,4,3,4,4,4,4,4,4,3,4,it takes hard work to be a good team,you need to make sure everyones doing what they have to,that you should probably pay attention because it might help you start a buisness when you get older,you need to spend it wisely,27
2920,10/16/2014 12:02,10/16/2014 12:25,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,3,4,5,4,4,4,5,4,5,4,4,4,4,2,4,I have learned that teamwork should be that people should listen to each others ideas and that they should solve their problems while working together. teamwork should show respect to one another. The people should share their ideas and not just sit there and do nothing.,I have learned that leadership is when u take a lead and you lead everyone to their hope and anywhere else.,I would tell them that they should not goof around a lot because then they won't get a lot down and to work in to a group that is not a lot and that they would work with very well. ,I have learned that managing money is hard work to keep track of the amount u need and change that would need.,63
2921,10/16/2014 12:02,10/16/2014 12:28,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Decide how the product will look.,All of the above.,,5,4,5,5,4,4,3,4,5,4,4,4,5,4,3,5,"What I have learned about teamwork from Bizworld is that even if team mates disagree on something, we have to come up with an idea that we all agree on. I have also learned that all team mates have to contribute to get work done. ", What I have learned about leadership from Bizworld is if you want your team to be successful you have to make sure everyone is on task. I have also learned that to be success you have to help one another. ,The advice I would give a new student is to stay focused and have fun exploring new things.,What I have learned about managing money from Bizworld is that you have to be careful about what you spend your money on.,54
2922,10/16/2014 12:02,10/16/2014 12:21,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,All of the above.,Decide how the product will look.,All of the above.,,5,4,5,5,4,5,4,4,5,5,4,4,4,5,3,4,"Team work can, and will help you in the future. Also with team work you accomplish many things.",They can lead me in the right direction.,"To have team work, and put a lot of time and effort into your biz world project, because you can get a reward if you sell the most bracelets.","To have low expenses, and have high revenue.",81
2923,10/16/2014 12:02,10/16/2014 12:15,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Decision-making power for product design.,All of the above.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Profit.,All of the above.,Decide how the product will look.,All of the above.,,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,4,I learned that we all have different decisions on what our company will look like and sometimes we all agree. ,I learned how to take charge on an important project.,Making a company is hard. but in the end you lots of fun a learned a lot!,"I learned what would happen in the real world and buying and selling. Sometimes, you need to give away the money and then you earn it. ",45
2924,10/16/2014 12:02,10/16/2014 12:22,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Male,Caucasian,It earned the most revenue during sales,Just repay balance of the loan.,$8 ,A portion of company products and services.,All of the above.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Revenue.,Make sure your company has the best commercial.,Promote the product to your customers.,All of the above.,,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,I have learned how to work together as teamwork in getting a job done.,Being able to take charge in a team.,To work hard in Typing and teamwork. ,To be  careful and wise with money.,36
2925,10/16/2014 12:02,10/16/2014 12:22,United States,Los Angeles,CA,90001,santa clarita,California,7,,Male,Native American/Alaska Native,It earned more money in revenue than it spent on expenses,Give the bank shares of stock.,$8 ,Shares of stock in the company and a vote in decision-making.,You can prevent your company from losing money.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,Demonstrate why your company and its products are special.,Decide how the product will look.,How popular the item/style might be.,,3,1,3,5,2,3,4,2,4,4,4,3,4,1,1,4,I learned that team work is vary important if you need to get something done fast and that if you work together you can get things done faster and better,I learned that leadership can help you out when you need to get something done and your teammates don't know what to do,I would tell the new students of bizworld that I will get hard but if you work together you can get it done ,that money is important and someday we will have the take care of money and learn how to save and not just spend or we will just be living on the streets,27
2927,10/16/2014 12:02,10/16/2014 12:21,United States,Los Angeles,CA,90001,santa clarita,California,8,,Female,Hispanic,It sold all it's products,Just repay balance of the loan.,$9 ,A promise to repay the loan plus interest.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Make sure your company has the best commercial.,Promote the product to your customers.,How popular the item/style might be.,,1,4,5,5,1,3,2,1,4,2,1,4,2,1,1,5,nothing,nothing ,nothing ,nothing,36
2928,10/16/2014 12:02,10/16/2014 12:19,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Asian/Pacific Islander,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Promote the product to your customers.,All of the above.,,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,I learned that teamwork can get the job done faster especially when half the group is doing one thing and the other another.,I learned that leadership is important because you can lead and help others in anything they need. ,My advice is to pick a group who you think is going to work every single minute that the teacher gives you or else things wont be done and you may lose from another team. Also pick a group who is determined and who knows how to work with others well.,"I learned a lot in Bizworld and from my teacher. Managing money isn't about just selling products or giving your employees money. Handling money isn't as easy as  I thought because you also have to pay for the rent, pay for your electronics, and also buy things to make your product. ",72
2929,10/16/2014 12:02,10/16/2014 12:17,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Female,Caucasian,It earned the most revenue during sales,Repay the balance of the loan and interest.,$5 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Cash on hand.,Make sure your company has the best commercial.,Promote the product to your customers.,The amount of time it took to make the product.,,4,1,4,4,4,4,1,3,2,1,2,2,4,2,1,3,I have learned that it's good to listen to others ideas,That you can get your work done faster  when you have  a leader ,to listen and follow directions and to listen to others ideas about the company ,I have learned  to make good profit for the company ,27
2930,10/16/2014 12:02,10/16/2014 12:19,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Male,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Revenue.,All of the above.,Sell the product to your customers.,All of the above.,,4,3,4,4,3,3,3,4,4,4,4,3,4,3,4,4,I have learned how to work with other people and share my ideas with other people.,I haven't lead people.,to work hard and that there are a lot of fun thing going to happen and a lot of typing.,I've leaned that to not waste to much meney on stuff and save it up until you really need it,45
2931,10/16/2014 12:02,10/16/2014 12:12,United States,Los Angeles,CA,90001,Santa clarita,California,7,,Male,Native American/Alaska Native,It earned the most revenue during sales,Just repay balance of the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Capital.,All of the above.,Decide how the product will look.,All of the above.,,4,2,4,5,3,5,4,3,4,4,4,3,4,5,3,4,I learned that teamwork can help to get things done faster.,a good leader makes a good company,when the time comes pick a good leader,put your money somewhere where you wont loose it,54
2932,10/16/2014 12:02,10/16/2014 12:26,United States,Los Angeles,CA,90001,santa clarita,California,8,,Female,Decline to Respond,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Promote the product to your customers.,All of the above.,,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,that not everyone in the group is gonna get along with each other and we will disagree on some things as well as agree with some things  you have to comunnicate with each other to talk thiungs through,that everyone in the group is a leader and we shouldnt have one person left out of the group ,that it is a great thing to learn about marketing selling things and helping you in the future ,that all of the money is always yours that you have to give back fo0r what youy borrowed  ,54
2933,10/16/2014 12:04,10/16/2014 12:14,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Asian/Pacific Islander,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Decide how the product will look.,All of the above.,,5,4,4,5,3,5,4,3,4,5,4,4,4,4,5,4,I have learned that teamwork is an important factor in running a company and that if your team doesn't have teamwork then your team will fail.,I have learned that leadership is very important and without leadership no one would know what to do and they would make no progress in business.,I would tell the student to pick people that you get along well with and be able to cooperate with easily without being distracted. Also to make sure to be cooperative as well.,I have learned that you must watch your money carefully in order to make profit. If you watch your money it will also help you with making prices and deals for your customers.,81
2934,10/16/2014 12:04,10/16/2014 12:19,United States,Los Angeles,CA,90001,santa clarita,California,7,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Help increase sales of your product.,Make the product quickly and with limited waste.,How popular the item/style might be.,,1,5,5,5,5,5,5,5,4,5,5,5,5,3,5,3,that it is very important to make a company or project stronger and better,"that when there is a problem between two sides of the team or anything, you must take charge quickly or else people will get hurt and the project will not come out successful. ","to always pay attention to the money and the expenses or else you will end up losing money. also, try to think of something that is fair like the name one side wants a and another wants b what to do is compromise and chose the one where it will be fair to both sides ",that their  will always be something new you need so save for the things you need and dont spend money all at once ,72
2935,10/16/2014 12:05,10/16/2014 12:25,United States,Los Angeles,CA,90001,santa clarita,California,8,,Male,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$4 ,A promise to repay the loan plus interest.,You will be able to calculate your company's profits.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,Make sure your company has the best commercial.,Make the product quickly and with limited waste.,How popular the item/style might be.,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,work as a team,help others,work hard  ,get money,27
2936,10/16/2014 12:03,10/16/2014 12:25,United States,Los Angeles,CA,90001,santa clarita,California,8,,Male,Hispanic,It earned the most revenue during sales,Just pay interest on the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Revenue.,Help increase sales of your product.,Decide how the product will look.,How popular the item/style might be.,,4,2,4,5,4,4,3,2,2,5,4,4,3,5,3,4,that is easy to work in teamwork and that is fun working to getter.,that is fun and telling then what to do ,to make more thinks to sell ,that is not easy doing with money ,27
2939,10/16/2014 12:09,10/16/2014 12:18,United States,Los Angeles,CA,90001,santa carita,California,7,,Male,Decline to Respond,It earned the most revenue during sales,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Decide how the product will look.,All of the above.,,5,4,5,5,4,5,4,4,5,4,5,5,4,5,4,5,Working together gets the job done faster. ,That leader ship helps modivate the team.,You should get ready and pick people that you confitable with. ,To keep the money together and not to loose it.,63
2940,10/16/2014 12:14,10/16/2014 12:21,United States,Los Angeles,CA,90001,santa clarita,California,8,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$4 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Profit.,All of the above.,Sell the product to your customers.,All of the above.,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,That its fun and you are able to work with your friends.,That it doesn`t matter about the job you pick because you can all work in the same job and still have fun.,That it`s not just about typing its about learning new things and having fun.,That if you take loan out of a bank you have to pay it back and give interest.,54
2941,10/16/2014 12:19,10/16/2014 12:31,United States,Los Angeles,CA,90001,santa clarita,California,7,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Profit.,Introduce your customers to your logo and slogan.,Promote the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,5,3,5,5,4,4,5,4,5,4,5,4,5,4,5,5,it is going to help me in the real world.,it is important so you can motivate  others,don't be afraid it is really fun and you will learn about the real  world of buissness,it is important to keep track of your mony,36
2942,10/16/2014 14:05,10/16/2014 14:13,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Male,Asian/Pacific Islander,It earned more money in revenue than it spent on expenses,Just pay interest on the loan.,$9 ,A portion of company products and services.,All of the above.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,Help increase sales of your product.,Make the product quickly and with limited waste.,All of the above.,,5,4,4,5,3,4,3,3,3,5,4,3,3,3,4,4,I have learned about that when you work as a team you can get more that you realize done.,That if you take leadership you can help your team out in the ways that they cant,Use your money wisely because it can help you in the long run.,It takes money to make money.,63
2943,10/16/2014 14:05,10/16/2014 14:13,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,5,5,4,5,5,4,4,5,4,4,4,4,5,4,It helps to get things done.,To help and motivate others to do things.,To do the best they can and to try to have fun.,To just buy what you really need and try to not waste it.,100
2944,10/16/2014 14:05,10/16/2014 14:21,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,Demonstrate why your company and its products are special.,Promote the product to your customers.,All of the above.,,4,5,4,4,5,4,4,5,5,5,4,4,5,5,3,4,Team work can be fun when you are treated how others want to be treated,Having the lead role is very important because you get to tell others how to do things correctly and what to do in a correct way ,Do not only think about yourself think about others decisions talk to your teammates before you descide for your self ,it can be a little fustrating when you are independent,36
2945,10/16/2014 14:05,10/16/2014 14:19,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Cash on hand.,Demonstrate why your company and its products are special.,Promote the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,5,4,3,5,4,4,4,5,4,5,4,3,4,4,3,4,Its Important to get along with you're teammates and work out things.,You should pay attention and make you're group pay attention and do their work.,You need to work hard and pay attention.,Its important to know how much money you can spend on certain things.,27
2946,10/16/2014 14:05,10/16/2014 14:17,United States,Los Angeles,CA,90001,Santa clarita,California,8,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Just pay interest on the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,2,3,3,4,4,4,3,4,4,4,5,4,4,3,3,"That if you don't have teamwork, your company or team might not be that great as others.","You don't always have to be the leader, just when necessary.",Try your best to make things right and don't ever give up.,Definitely be careful and always keep track of it.,90
2947,10/16/2014 14:06,10/16/2014 14:22,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Promote the product to your customers.,All of the above.,,1,4,4,5,5,4,4,5,4,5,5,1,4,5,2,5,its a waste of time,its fun cause u get to tell them what to do,it sucks,its fake money,81
