Response ID,Time Started,Date Submitted,Status,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, were $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,Score,What have you learned about teamwork from school?,What have you learned about leadership from school?,What do you know about managing money?,Quiz Score
3981,9/3/2014 14:36,9/3/2014 14:48,Complete,United States,Salinas,CA,93906,salinas,New York,6,,Male,Native American/Alaska Native,It sold all its products,Just repay balance of the loan.,$8 ,,You can prevent your company from losing money.,Receiving money with no other requirements.,Rent - Interest = Profit (or Loss),Revenue.,Help increase sales of your product.,Sell the product to your customers.,All of the above.,2,3,1,5,5,3,5,3,5,5,4,4,3,5,5,1,,its good for you ,havent learn that yet,have not thout me that,18
3982,9/3/2014 14:39,9/3/2014 14:52,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Female,Other/Multi-Racial,It didn't sell too many shares of stock to the venture capitalists,Just repay balance of the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,You can prevent your company from losing money.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Profit.,All of the above.,Decide how the product will look.,All of the above.,5,4,4,4,4,4,4,4,5,4,5,5,4,4,5,5,,What i learned about teamwork is that you have to be confident about your self and of the people around you.,"What i have learned about leader ship is you gave to be good and listen to other when their talking,you have to motivate them and show them that they are very smart.",That you have to pay attention like in class ,36
3983,9/3/2014 14:35,9/3/2014 14:54,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Male,Hispanic,It earned the most revenue during sales,Just repay balance of the loan.,$8 ,,You will be better able to make informed financial decisions.,Receiving money with no other requirements.,Rent - Interest = Profit (or Loss),Cash on hand.,Introduce your customers to your logo and slogan.,Promote the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,,I learn about teamwork that it could confident about your self,I motevied my self and others,i could managing,0
3984,9/3/2014 16:58,9/3/2014 17:18,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Female,Hispanic,It sold all its products,Just repay balance of the loan.,$8 ,Decision-making power for product design.,You will be better able to make informed financial decisions.,Receiving money with no other requirements.,Rent - Interest = Profit (or Loss),Capital.,Make sure your company has the best commercial.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",4,5,5,4,5,4,5,5,4,4,5,5,4,4,4,4,,I learn that not to be a bully and to be nice to each others,I learned that to get good education and get a degree and get a job,I know to get money to go to college and have many classes,0
3985,9/3/2014 16:57,9/4/2014 11:23,Complete,United States,Salinas,CA,93906,salinas,California,6,,Male,Hispanic,It sold all its products,Just pay interest on the loan.,$8 ,A portion of company products and services.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,Demonstrate why your company and its products are special.,Sell the product to your customers.,The amount of time it took to make the product.,4,4,3,5,4,4,4,4,4,5,4,4,4,4,4,4,,that you can get help if you dont understand something and you can help others if they are in trouble.,you can lead others to a great education so they can get in a good college.,you can save money to get into college and to get in classes you want. ,18
3986,9/3/2014 16:57,9/3/2014 17:16,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Female,Hispanic,It sold all its products,Just repay balance of the loan.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,Demonstrate why your company and its products are special.,Decide how the product will look.,The quality of the product.,4,3,5,5,4,4,4,4,3,5,4,3,4,3,3,4,,I learned that team work can sometimes work better than working by yourself and can help.,Leadership can help you achieve on some things that you do not know.,Managing money can sometimes get out of order and then lose money and have to pay your self.,27
3987,9/3/2014 16:57,9/3/2014 17:14,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$9 ,Decision-making power for product design.,You will know how much money you spent on expenses.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Cash on hand.,Help increase sales of your product.,Decide how the product will look.,The amount of time it took to make the product.,4,3,4,5,4,3,4,4,4,4,4,4,3,3,4,4,,i learned that we have to work together,i learned that leadership mean to work together and help other with the problems,it good because if you leave then were ever then you wont have credit in your scolership because your not responsibe,18
3988,9/3/2014 16:58,9/3/2014 17:15,Complete,United States,Salinas,CA,93906,salinas california,California,6,,Female,Hispanic,It sold all its products,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,You will know how much money you spent on expenses.,Making a promise to pay back the venture capitalist.,Expenses + Profit = Revenue,Cash on hand.,Make sure your company has the best commercial.,Make the product quickly and with limited waste.,How popular the item/style might be.,2,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,,to help and make things ,that leaders are not asome than others,that never lose it and keep it ,18
3989,9/3/2014 16:58,9/3/2014 17:16,Complete,United States,Salinas,CA,93906,salinas,California,6,,Male,Native American/Alaska Native,It sold all its products,Repay the balance of the loan and interest.,$5 ,Decision-making power for product design.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Cash on hand.,Help increase sales of your product.,Make the product quickly and with limited waste.,How popular the item/style might be.,2,3,4,4,3,4,2,2,3,4,3,4,3,4,2,4,,I have learn that it's good to work in groups becaus you can with students,i have that is fun to be a leader ship,i know that you have to take care of money,27
3990,9/3/2014 16:57,9/3/2014 17:18,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Male,Native American/Alaska Native,It sold all its products,Give the bank shares of stock.,$8 ,A portion of company products and services.,You will know how much money you spent on expenses.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Cash on hand.,Demonstrate why your company and its products are special.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",5,4,5,5,2,4,4,3,4,5,4,4,4,4,5,5,,help others ,that it is fun,it inportant ,9
3991,9/3/2014 17:12,9/3/2014 17:24,Complete,United States,Red Oak,TX,75154,Waxahachie,Texas,6,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,All of the above.,Promote the product to your customers.,All of the above.,4,2,4,2,2,4,4,4,3,4,4,4,3,3,1,4,,"We don't do group projects, so I don't know.",Nothing ,I am good'ish at managing money,81
3992,9/3/2014 18:45,9/3/2014 19:17,Complete,United States,Pleasanton,CA,94566,Pleasanton,California,5,,Female,Caucasian,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,Help increase sales of your product.,Make the product quickly and with limited waste.,All of the above.,5,4,3,4,5,4,2,4,3,5,2,4,4,4,4,5,,You need it to get things done correctly.,That it is very important.,You should spend it wisely and be responsible.,45
3993,9/3/2014 21:41,9/3/2014 21:59,Complete,United States,Waxahachie,TX,75165,Waxahachie,Texas,6,,Female,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A promise to repay the loan plus interest.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,4,5,4,5,3,4,3,4,5,5,3,4,4,3,3,4,,We use many different methods in the classroom like splitting up into groups for science and sometimes in math.,I do not think we learn much leadership at school. I learn more about leadership at home because I am an older sibling.,"I buy a lot of my own shoes ,toys, and more. But rather then that not really.",81
3994,9/4/2014 10:57,9/4/2014 11:11,Complete,United States,Pleasanton,CA,94566,Pleasanton,California,5,,Male,Hispanic,It sold all its products,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,4,5,4,5,4,4,4,4,2,4,4,3,4,4,3,5,,That it helps us get more done then working by ourselves.,It means that you have a lot of responsibility and you cant play around a lot and not help.,You need to think about what youre going to do with it. You cant just go buying everything.,54
3995,9/4/2014 11:23,9/4/2014 11:35,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Male,Decline to Respond,It didn't sell too many shares of stock to the venture capitalists,Just repay balance of the loan.,$8 ,A portion of company products and services.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Profit.,Help increase sales of your product.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",4,3,4,5,3,4,3,4,4,4,4,4,4,3,3,4,,I learned that find out how to use my teammates skills.,I don't know yet,I don't know yet,9
3997,9/4/2014 11:23,9/4/2014 11:41,Complete,United States,Salinas,CA,93906,Salinas Ca,California,6,,Female,Hispanic,It sold all its products,Just pay interest on the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,The amount of time it took to make the product.,4,3,4,5,3,5,4,3,4,4,3,3,4,3,1,3,,that teamwork is fun,idk,to waste in stuff that u need,9
3998,9/4/2014 11:23,9/4/2014 11:40,Complete,United States,Salinas,CA,93906,salinas,California,6,,Male,Hispanic,It earned the most revenue during sales,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Profit.,Demonstrate why your company and its products are special.,Make the product quickly and with limited waste.,How popular the item/style might be.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,you always learn something new,they do what ever you want them to do,you need to make a profit ,36
3999,9/4/2014 11:23,9/4/2014 11:42,Complete,United States,Salinas,CA,93906,Salina,California,6,,Male,Hispanic,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,Decision-making power for product design.,You will be better able to make informed financial decisions.,Receiving money with no other requirements.,Rent - Interest = Profit (or Loss),Capital.,Help increase sales of your product.,Decide how the product will look.,All of the above.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,thant you dont have to get a answer rite at list you are tring.thants why you are in school to learn.you dont have  to get the rite answer becuse you are going to get it rite next rite.,to help auther in school and be nice to every body you dont have to be the same culter or same tipe of shin to be freninds,idont now yet,18
4000,9/4/2014 11:23,9/4/2014 11:38,Complete,United States,Salinas,CA,93906,salinas,California,6,,Male,Other/Multi-Racial,It sold all its products,Just repay balance of the loan.,$5 ,Decision-making power for product design.,You will be better able to make informed financial decisions.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Capital.,Introduce your customers to your logo and slogan.,Promote the product to your customers.,The amount of time it took to make the product.,4,3,2,5,3,4,2,4,3,3,4,2,4,4,3,5,,it esyer wiht peple and it fun ,they tell us what to do but itworks out,i be rich and happy  ,9
4001,9/4/2014 11:26,9/4/2014 11:42,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Male,Other/Multi-Racial,It sold all its products,Just repay balance of the loan.,$8 ,A promise to repay the loan plus interest.,You can prevent your company from losing money.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,How popular the item/style might be.,4,4,3,4,4,4,3,3,4,5,4,3,4,3,3,4,,We could share all of ares idea.,That it looks easy but its actully hard.,If the company works hard and its pay day you should give the extra.,0
4002,9/4/2014 11:23,9/4/2014 11:44,Complete,United States,Salinas,CA,93906,salenas,California,6,,Female,Hispanic,It sold all its products,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Capital.,Make sure your company has the best commercial.,Sell the product to your customers.,All of the above.,3,2,1,5,3,4,5,5,3,1,5,2,5,3,1,3,,to do things togater and to be nise to,a lot of things so to repet oters,to help pepole and help my famly ,36
4004,9/4/2014 15:40,9/4/2014 15:46,Complete,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A promise to repay the loan plus interest.,You will be able to calculate your company's profits.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Revenue.,Make sure your company has the best commercial.,Make the product quickly and with limited waste.,The amount of time it took to make the product.,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,,We must all work together,Everybody has to take turns.,I have to think about it before we spend.,45
4005,9/4/2014 17:12,9/4/2014 17:26,Complete,United States,Los Angeles,CA,,Culver City,California,8,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Profit.,All of the above.,Decide how the product will look.,All of the above.,5,4,4,5,4,4,5,4,4,5,5,4,4,5,4,5,,What I have learned about teamwork from school is that we need to compromise with each other and agree on the same thing.,What I have learned about leadership from school is that you have many responsibilities and need to lead others that follow you.,"What I know about managing money is that you can't spend all your money right away. You need to spend some money once a while for something, but not all of it. If you spend all your money, then you will go bankrupt and have nothing left.",72
4006,9/4/2014 17:12,9/4/2014 17:25,Complete,United States,Los Angeles,CA,,Culver City,California,8,,Male,Hispanic,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,You will be able to calculate your company's profits.,Receiving money with no other requirements.,Expenses x Revenue = Profit,Profit.,All of the above.,Promote the product to your customers.,How popular the item/style might be.,5,3,4,4,3,5,5,4,4,5,4,4,4,3,5,3,,Most important thing i learned about teamwork is be team and to have confidence in each others and believe in what we can do. ,Leadership is a hard but it mostly takes to time to believe in each others and never to give up on one of your teammates.,The thing i know about managing money to use things that are important not things that are not important. Also if i loan money i pay the money as soon as i get the money to pay back.,18
4007,9/4/2014 17:12,9/4/2014 17:25,Complete,United States,Los Angeles,CA,,Culver City,California,8,,Male,Asian/Pacific Islander,It earned the most revenue during sales,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Capital.,All of the above.,Promote the product to your customers.,All of the above.,1,3,5,5,4,5,5,4,4,5,4,5,3,5,4,3,,"Teamwork is a group challenge. Everyone in the group needs to contribute one way or another, but one person is usually the spokesperson of the group. ","Leadership requires someone who is ready take on any task, loud, and someone appeals to the majority of the audience. ","When managing money you have to look at what you spend, what you have saved, and what future expenses should make so you are not in debt.  ",63
4008,9/4/2014 17:12,9/4/2014 17:25,Complete,United States,Los Angeles,CA,,Culver City,California,7,,Female,Hispanic,It earned the most revenue during sales,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Receiving money with no other requirements.,Expenses x Revenue = Profit,Profit.,Demonstrate why your company and its products are special.,Decide how the product will look.,All of the above.,4,3,4,5,3,3,4,4,4,5,4,4,4,4,4,4,,Everyone has their own opinion and different ideas,Be confident and you are entitled to be a leader,I know every time you get paid put some of the money away. Use money wisely. Before you invest your money some place look into that company to make sure it's not a scam,36
4009,9/4/2014 17:12,9/4/2014 17:25,Complete,United States,Los Angeles,CA,,Culver City,California,8,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Receiving money with no other requirements.,Expenses x Revenue = Profit,Profit.,All of the above.,Promote the product to your customers.,All of the above.,5,4,4,5,4,4,5,4,2,5,3,3,4,4,3,5,,that is is always important to work together,that being a leader takes a lot of courage and work,i know to always be wise and make right decisions and to be smart with it,63
4011,9/8/2014 9:15,9/8/2014 9:23,Complete,United States,Gautier,MS,39553,Gautier,Mississippi,7,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,5,5,5,5,5,5,5,4,5,5,5,4,3,5,3,5,,Everybody has their own differences on what to do for the project,It is a helpful life skill,You cant waste it.,81
4013,9/8/2014 9:15,9/8/2014 9:27,Complete,United States,Gautier,MS,39553,gautier,Mississippi,7,,Male,Caucasian,It sold all its products,Just repay balance of the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,5,5,3,4,4,5,2,4,3,4,5,5,5,4,3,4,,you should always help each other get the work done.,there should always be one leader,never use more than you need to use.,63
4014,9/8/2014 9:15,9/8/2014 9:28,Complete,United States,Gautier,MS,39553,gautier,Mississippi,7,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Sell the product to your customers.,All of the above.,4,2,3,5,3,4,4,2,3,5,3,3,3,4,4,3,,That you can get it done quicker and you meet new people.,When you are a leader you are showing other people how to do things and you are not the follower.,It is yours to keep.,45
4015,9/8/2014 9:16,9/8/2014 9:27,Complete,United States,Gautier,MS,39553,Gautier,Mississippi,7,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Profit.,All of the above.,Decide how the product will look.,The amount of time it took to make the product.,4,4,4,4,5,4,3,5,4,5,4,4,4,3,3,4,,That there is no I in team that in order to get something done you must work together.,You don't always have to be a leader to be heard.,If you be smart with your money good things will come.,45
4016,9/8/2014 9:16,9/8/2014 9:25,Complete,United States,Gautier,MS,39553,Gautier,Mississippi,7,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Capital.,Demonstrate why your company and its products are special.,Make the product quickly and with limited waste.,All of the above.,4,2,3,2,3,4,2,3,3,4,4,3,3,4,3,4,,I have learned that it is important.,You can only have one leader even though there can be other people also in charge.,You have to be careful and know math.,72
4017,9/8/2014 10:16,9/8/2014 10:26,Complete,United States,Gautier,MS,39553,Gautier,Mississippi,7,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Just pay interest on the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,4,4,5,4,4,4,5,4,5,5,3,4,4,4,3,3,,"That you can get a lot done plus it's fun, sometimes.",That you have a responsibility to handle.,"I know that you have to worry about how much you spend for supplies, and the rate its selling, and what you need to do to not waste money.",72
4018,9/8/2014 10:16,9/8/2014 10:34,Complete,United States,Gautier,MS,39553,gautier,Mississippi,7,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,5,5,4,5,5,5,4,5,4,5,5,4,4,5,3,5,,Teamwork is when everybody in the group pitches in or contributes to the project.,"I have learned that leaders need to be hard working,can speak in front of people and can take control.","When managing money you are responsible for how much we make that day or manages our profit,revenue,and expenses.",72
